date,scenario,returns_received,staff_available,normal_staff_capacity,processing_capacity,average_processing_minutes,backlog_size,carrier_delay_hours,urgent_demand_index,inspection_capacity,system_status
2025-11-13,NORMAL,32,28,30,60,13,19,2.0,1.0,60,HEALTHY
2025-11-14,CAPACITY_LOSS,70,18,30,35,35,82,2.0,1.0,35,DEGRADED
2025-11-15,NORMAL,47,27,30,60,14,10,1.6,1.0,60,HEALTHY
2025-11-16,URGENT_DEMAND,130,29,30,70,25,125,3.3,2.48,70,HEALTHY
2025-11-17,DELIVERY_DELAY,57,28,30,60,15,31,31.9,1.0,60,DEGRADED
2025-11-18,NORMAL,55,29,30,60,13,7,0.6,1.0,60,HEALTHY
2025-11-19,NORMAL,52,30,30,60,15,18,1.7,1.0,60,HEALTHY
2025-11-20,CAPACITY_LOSS,42,13,30,35,35,81,1.2,1.0,35,DEGRADED
2025-11-21,NORMAL,46,27,30,60,13,10,1.7,1.0,60,HEALTHY
2025-11-22,NORMAL,46,25,30,60,18,8,1.3,1.0,60,HEALTHY
2025-11-23,NORMAL,35,27,30,60,17,12,1.0,1.0,60,HEALTHY
2025-11-24,URGENT_DEMAND,147,30,30,70,21,92,3.2,2.43,70,HEALTHY
2025-11-25,NORMAL,50,27,30,60,16,7,1.3,1.0,60,HEALTHY
2025-11-26,NORMAL,60,29,30,60,13,10,1.5,1.0,60,HEALTHY
2025-11-27,DELIVERY_DELAY,69,27,30,60,15,46,43.1,1.0,60,DEGRADED
2025-11-28,NORMAL,60,30,30,60,18,13,1.5,1.0,60,HEALTHY
2025-11-29,DELIVERY_DELAY,63,29,30,60,15,35,44.0,1.0,60,DEGRADED
2025-11-30,NORMAL,50,27,30,60,15,12,1.7,1.0,60,HEALTHY
2025-12-01,NORMAL,39,28,30,60,12,6,0.7,1.0,60,HEALTHY
2025-12-02,NORMAL,44,26,30,60,14,9,1.0,1.0,60,HEALTHY
2025-12-03,DELIVERY_DELAY,73,27,30,60,21,24,39.4,1.0,60,DEGRADED
2025-12-04,NORMAL,33,27,30,60,13,19,0.7,1.0,60,HEALTHY
2025-12-05,NORMAL,34,25,30,60,12,14,1.9,1.0,60,HEALTHY
2025-12-06,CAPACITY_LOSS,53,13,30,35,30,92,2.0,1.0,35,DEGRADED
2025-12-07,NORMAL,40,26,30,60,18,10,1.2,1.0,60,HEALTHY
2025-12-08,NORMAL,45,27,30,60,15,5,0.6,1.0,60,HEALTHY
2025-12-09,NORMAL,44,26,30,60,13,16,0.6,1.0,60,HEALTHY
2025-12-10,NORMAL,49,30,30,60,17,20,0.9,1.0,60,HEALTHY
2025-12-11,NORMAL,33,28,30,60,13,13,1.6,1.0,60,HEALTHY
2025-12-12,DELIVERY_DELAY,61,25,30,60,21,21,32.5,1.0,60,DEGRADED
2025-12-13,NORMAL,47,27,30,60,12,17,1.3,1.0,60,HEALTHY
2025-12-14,DELIVERY_DELAY,58,29,30,60,16,24,47.1,1.0,60,DEGRADED
2025-12-15,NORMAL,55,27,30,60,16,16,1.6,1.0,60,HEALTHY
2025-12-16,NORMAL,46,28,30,60,16,6,0.6,1.0,60,HEALTHY
2025-12-17,NORMAL,40,28,30,60,16,19,0.7,1.0,60,HEALTHY
2025-12-18,CAPACITY_LOSS,44,14,30,35,35,50,2.2,1.0,35,DEGRADED
2025-12-19,NORMAL,56,27,30,60,16,15,1.3,1.0,60,HEALTHY
2025-12-20,NORMAL,45,30,30,60,16,14,1.2,1.0,60,HEALTHY
2025-12-21,NORMAL,40,30,30,60,12,18,1.4,1.0,60,HEALTHY
2025-12-22,DELIVERY_DELAY,73,30,30,60,15,39,29.1,1.0,60,DEGRADED
2025-12-23,URGENT_DEMAND,140,32,30,70,29,89,6.3,1.88,70,HEALTHY
2025-12-24,NORMAL,50,30,30,60,16,17,0.7,1.0,60,HEALTHY
2025-12-25,NORMAL,31,29,30,60,17,8,0.8,1.0,60,HEALTHY
2025-12-26,NORMAL,43,26,30,60,15,11,1.1,1.0,60,HEALTHY
2025-12-27,DELIVERY_DELAY,79,28,30,60,15,42,17.0,1.0,60,DEGRADED
2025-12-28,NORMAL,40,30,30,60,15,17,1.0,1.0,60,HEALTHY
2025-12-29,NORMAL,59,29,30,60,14,16,1.5,1.0,60,HEALTHY
2025-12-30,CAPACITY_LOSS,61,17,30,35,33,79,2.5,1.0,35,DEGRADED
2025-12-31,URGENT_DEMAND,107,32,30,70,24,88,7.6,2.47,70,HEALTHY
