return_id,order_id,customer_id,sku,return_date,purchase_date,return_text,customer_selected_reason,return_type,refund_amount,quantity,store_channel,return_channel,warranty_claim,days_since_purchase,return_status,ground_truth_reason,root_cause_group,preventable,preventable_owner,severity,ground_truth_priority,product_name,brand,product_category,subcategory,model,price,warranty_months,launch_date,weight,colour,battery_capacity,connector_type,operating_system,compatibility,supplier_id,packaging_type,listing_title,listing_description,listed_compatibility,listed_accessories,listed_dimensions,listed_colour,listing_last_updated,content_quality_score,compatibility_information_present,installation_guide_present,image_accuracy_score,viewed_product_page,viewed_compatibility_guide,viewed_size_guide,viewed_manual,contacted_support,support_contact_count,attempted_troubleshooting,replacement_requested,refund_requested,days_before_contact,customer_action_notes,inspection_date,inspector_id,physical_damage,functional_test,missing_accessories,packaging_damage,water_damage,battery_health,compatibility_verified,fault_confirmed,inspection_notes,inspection_outcome,date,scenario,returns_received,staff_available,normal_staff_capacity,processing_capacity,average_processing_minutes,backlog_size,carrier_delay_hours,urgent_demand_index,inspection_capacity,system_status
RET-110803,ORD-543334,CUST-95920,SKU-TVS-1142,2025-04-16,2025-04-04,router does not support mesh network,COMPATIBILITY_ISSUE,STANDARD_RETURN,183.12,1,ONLINE,MAIL,False,12,REJECTED,COMPATIBILITY_ISSUE,CONTENT,YES,Content Team,MEDIUM,P2,SonicWave TV 242,SonicWave,TVs,TVs Standard,MOD-2142,183.12,6,2023-02-16,2.7,Ocean Blue,0,3.5mm Jack,,Specific,SUP-106,Eco Carton,SonicWave TV 242 - High Performance,Official SonicWave TVs with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",25x13x3 cm,Ocean Blue,2024-01-12,0.82,True,True,0.95,True,False,False,False,True,1,False,False,True,3,Customer initiated return for COMPATIBILITY_ISSUE,2025-04-19,INSP-19,False,PASSED,False,False,False,85,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue,2025-04-16,NORMAL,30.0,30.0,30.0,60.0,16.0,6.0,2.0,1.0,60.0,HEALTHY
RET-111269,ORD-551336,CUST-100680,SKU-MIC-1011,2025-04-14,2025-03-22,mounting screws missing,MISSING_ACCESSORY,STANDARD_RETURN,900.21,1,ONLINE,IN_STORE_DROP,False,23,REJECTED,MISSING_ACCESSORY,PRODUCT,YES,Supplier,MEDIUM,P3,NexusCore Mice 111,NexusCore,Mice,Mice Standard,MOD-2011,900.21,36,2024-04-04,2.06,Silver,0,HDMI,,Specific,SUP-102,Reinforced Case,NexusCore Mice 111 - High Performance,Official NexusCore Mice with HDMI support.,iOS and Android,"Charger, User Manual, Cable",14x13x4 cm,Silver,2024-01-24,0.52,True,True,0.51,True,True,True,False,True,0,False,True,True,3,Customer initiated return for MISSING_ACCESSORY,2025-04-17,INSP-16,False,PASSED,True,False,False,99,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory,2025-04-14,NORMAL,31.0,27.0,30.0,60.0,15.0,15.0,0.8,1.0,60.0,HEALTHY
RET-100125,ORD-579603,CUST-118456,SKU-MIC-1041,2025-01-29,2025-01-24,works perfectly on test bench,NO_FAULT_FOUND,STANDARD_RETURN,1039.56,1,ONLINE,IN_STORE_DROP,False,5,REJECTED,NO_FAULT_FOUND,OPERATIONS,UNCERTAIN,Customer,LOW,P4,PixelCraft Mice 141,PixelCraft,Mice,Mice Standard,MOD-2041,1039.56,12,2024-03-27,0.22,Space Gray,0,Bluetooth,,iOS/Android,SUP-112,Eco Carton,PixelCraft Mice 141 - High Performance,Official PixelCraft Mice with Bluetooth support.,See Description,"Charger, User Manual, Cable",24x10x3 cm,Space Gray,2024-02-28,0.41,False,True,0.46,True,True,True,False,False,0,False,False,True,10,Customer initiated return for NO_FAULT_FOUND,2025-01-30,INSP-12,False,PASSED,False,False,False,100,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found,2025-01-29,NORMAL,32.0,25.0,30.0,60.0,17.0,20.0,1.7,1.0,60.0,HEALTHY
RET-100253,ORD-537785,CUST-126513,SKU-MIC-1011,2025-02-13,2025-02-01,power adapter absent from sealed box,MISSING_ACCESSORY,STANDARD_RETURN,900.21,1,ONLINE,MAIL,False,12,REJECTED,MISSING_ACCESSORY,PRODUCT,YES,Supplier,MEDIUM,P3,NexusCore Mice 111,NexusCore,Mice,Mice Standard,MOD-2011,900.21,36,2024-04-04,2.06,Silver,0,HDMI,,Specific,SUP-102,Reinforced Case,NexusCore Mice 111 - High Performance,Official NexusCore Mice with HDMI support.,iOS and Android,"Charger, User Manual, Cable",14x13x4 cm,Silver,2024-01-24,0.52,True,True,0.51,True,False,True,True,True,1,True,True,True,6,Customer initiated return for MISSING_ACCESSORY,2025-02-16,INSP-12,False,PASSED,True,False,False,99,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory,2025-02-13,NORMAL,42.0,25.0,30.0,60.0,13.0,17.0,0.5,1.0,60.0,HEALTHY
RET-101975,ORD-512572,CUST-109904,SKU-HEA-1138,2025-11-12,2025-11-01,left earbud stopped working,PRODUCT_DEFECT,WARRANTY,501.81,1,RETAIL_STORE,LOCKER,True,11,APPROVED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,CRITICAL,P1,SonicWave Headphone 238,SonicWave,Headphones,Headphones Standard,MOD-2138,501.81,36,2024-03-20,3.04,Space Gray,2000,Micro-USB,,Specific,SUP-101,Reinforced Case,SonicWave Headphone 238 - High Performance,Official SonicWave Headphones with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",19x10x3 cm,Space Gray,2024-01-02,0.93,True,False,0.89,True,True,False,True,False,2,True,True,False,6,Customer initiated return for PRODUCT_DEFECT,2025-11-15,INSP-12,False,FAILED,False,False,False,96,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect,2025-11-12,NORMAL,49.0,27.0,30.0,60.0,17.0,20.0,0.8,1.0,60.0,HEALTHY
RET-101100,ORD-550045,CUST-111894,SKU-CAB-1103,2025-10-14,2025-09-25,expected usb c cable but not included,PRODUCT_DEFECT,STANDARD_RETURN,1158.32,1,ONLINE,LOCKER,False,19,APPROVED,MISSING_ACCESSORY,PRODUCT,YES,Supplier,MEDIUM,P3,Zenith Cable 203,Zenith,Cables,Cables Standard,MOD-2103,1158.32,12,2023-09-15,1.73,Midnight Black,0,HDMI,,Specific,SUP-113,Eco Carton,Zenith Cable 203 - High Performance,Official Zenith Cables with HDMI support.,iOS and Android,"Charger, User Manual, Cable",22x10x4 cm,Midnight Black,2024-05-18,0.93,True,True,0.98,True,False,True,True,False,1,True,True,True,0,Customer initiated return for MISSING_ACCESSORY,2025-10-17,INSP-14,False,PASSED,True,False,False,99,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory,2025-10-14,NORMAL,60.0,30.0,30.0,60.0,16.0,18.0,0.7,1.0,60.0,HEALTHY
RET-111983,ORD-543646,CUST-129378,SKU-SMA-1121,2025-07-31,2025-07-19,wifi drops connection constantly,PRODUCT_DEFECT,STANDARD_RETURN,1099.58,1,MARKETPLACE,IN_STORE_DROP,False,12,REJECTED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,CRITICAL,P1,OmniGear Smartphone 221,OmniGear,Smartphones,Smartphones Standard,MOD-2121,1099.58,12,2023-11-28,1.58,Ocean Blue,10000,3.5mm Jack,iOS,Specific,SUP-101,Blister Pack,OmniGear Smartphone 221 - High Performance,Official OmniGear Smartphones with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",18x5x3 cm,Ocean Blue,2024-02-25,0.93,True,True,0.99,True,False,False,True,True,0,False,True,False,4,Customer initiated return for PRODUCT_DEFECT,2025-08-01,INSP-19,False,FAILED,False,False,False,93,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect,2025-07-31,NORMAL,41.0,26.0,30.0,60.0,16.0,15.0,0.5,1.0,60.0,HEALTHY
RET-101820,ORD-572741,CUST-116838,SKU-MIC-1146,2025-11-26,2025-11-02,charger missing from box,PRODUCT_DEFECT,STANDARD_RETURN,276.31,1,MARKETPLACE,MAIL,False,24,APPROVED,MISSING_ACCESSORY,PRODUCT,YES,Supplier,MEDIUM,P3,AeroTech Mice 246,AeroTech,Mice,Mice Standard,MOD-2146,276.31,6,2023-01-04,1.58,Silver,0,Lightning,,Specific,SUP-112,Blister Pack,AeroTech Mice 246 - High Performance,Official AeroTech Mice with Lightning support.,iOS and Android,"Charger, User Manual, Cable",20x7x5 cm,Silver,2024-04-27,0.94,True,False,0.85,True,True,False,True,True,2,False,True,True,6,Customer initiated return for MISSING_ACCESSORY,2025-11-28,INSP-11,False,PASSED,True,False,False,87,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory,2025-11-26,NORMAL,60.0,29.0,30.0,60.0,13.0,10.0,1.5,1.0,60.0,HEALTHY
RET-106130,ORD-540527,CUST-104693,SKU-TVS-1097,2025-01-23,2025-01-11,tested fine customer didn't like color,NO_FAULT_FOUND,STANDARD_RETURN,1190.82,1,MARKETPLACE,IN_STORE_DROP,False,12,PENDING_INSPECTION,NO_FAULT_FOUND,OPERATIONS,UNCERTAIN,Customer,LOW,P4,PixelCraft TV 197,PixelCraft,TVs,TVs Standard,MOD-2097,1190.82,6,2023-08-25,3.27,Silver,0,USB-C,,Universal,SUP-107,Pouch,PixelCraft TV 197 - High Performance,Official PixelCraft TVs with USB-C support.,See Description,"Charger, User Manual, Cable",12x9x4 cm,Silver,2024-03-28,0.58,False,True,0.66,True,False,False,True,True,2,False,False,True,2,Customer initiated return for NO_FAULT_FOUND,2025-01-26,INSP-14,False,PASSED,False,False,False,96,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found,2025-01-23,NORMAL,58.0,29.0,30.0,60.0,18.0,13.0,1.7,1.0,60.0,HEALTHY
RET-101288,ORD-506939,CUST-90190,SKU-CAB-1148,2025-10-05,2025-09-05,3xp3ct3d usb c but r3c3iv3d micro usb,CUSTOMER_ORDER_ERROR,STANDARD_RETURN,1215.62,2,RETAIL_STORE,IN_STORE_DROP,False,30,PROCESSED,LISTING_MISMATCH,CONTENT,YES,Content Team,HIGH,P2,PixelCraft Cable 248,PixelCraft,Cables,Cables Standard,MOD-2148,607.81,24,2023-02-06,4.32,Midnight Black,0,Bluetooth,,iOS/Android,SUP-106,Box,PixelCraft Cable 248 - High Performance,Official PixelCraft Cables with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",26x15x1 cm,Midnight Black,2024-05-15,0.86,True,True,0.88,True,True,True,False,True,2,False,False,True,10,Customer initiated return for LISTING_MISMATCH,2025-10-08,INSP-20,False,PASSED,False,False,False,92,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found,2025-10-05,NORMAL,35.0,26.0,30.0,60.0,18.0,9.0,1.8,1.0,60.0,HEALTHY
RET-106537,ORD-517702,CUST-113011,SKU-SMA-1064,2025-11-25,2025-11-10,battery draining very fast,PRODUCT_DEFECT,WARRANTY,344.73,1,ONLINE,LOCKER,True,15,REJECTED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,HIGH,P4,UltraLink Smartwatche 164,UltraLink,Smartwatches,Smartwatches Standard,MOD-2064,344.73,36,2023-05-10,0.19,White,2000,Bluetooth,,iOS/Android,SUP-100,Pouch,UltraLink Smartwatche 164 - High Performance,Official UltraLink Smartwatches with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",14x12x1 cm,White,2024-05-24,0.58,True,False,0.45,True,True,True,False,False,1,True,True,False,7,Customer initiated return for PRODUCT_DEFECT,2025-11-27,INSP-15,False,FAILED,False,False,False,20,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect,2025-11-25,NORMAL,50.0,27.0,30.0,60.0,16.0,7.0,1.3,1.0,60.0,HEALTHY
RET-107358,ORD-516038,CUST-125273,SKU-SMA-1079,2025-10-04,2025-09-11,dropped phone on tile floor screen cracked,CUSTOMER_DAMAGE,WARRANTY,373.19,1,RETAIL_STORE,MAIL,True,23,APPROVED,CUSTOMER_DAMAGE,CUSTOMER,NO,Customer,LOW,P4,VoltMax Smartwatche 179,VoltMax,Smartwatches,Smartwatches Standard,MOD-2079,373.19,12,2023-05-21,2.81,Silver,2000,USB-C,,Universal,SUP-110,Eco Carton,VoltMax Smartwatche 179 - High Performance,Official VoltMax Smartwatches with USB-C support.,iOS and Android,"Charger, User Manual, Cable",11x9x4 cm,Silver,2024-01-30,0.91,True,True,0.88,True,False,True,True,True,1,False,False,True,8,Customer initiated return for CUSTOMER_DAMAGE,2025-10-07,INSP-17,True,PASSED,False,False,False,96,True,True,Inspection completed. Outcome: Customer Damage,Customer Damage,2025-10-04,NORMAL,54.0,27.0,30.0,60.0,18.0,17.0,1.3,1.0,60.0,HEALTHY
RET-110398,ORD-567671,CUST-105031,SKU-ROU-1119,2025-10-07,2025-09-08,colour received is red not blue as listed,LISTING_MISMATCH,WARRANTY,244.02,2,MARKETPLACE,MAIL,True,29,PENDING_INSPECTION,LISTING_MISMATCH,CONTENT,YES,Content Team,HIGH,P2,OmniGear Router 219,OmniGear,Routers,Routers Standard,MOD-2119,122.01,36,2023-01-08,2.73,Ocean Blue,0,Micro-USB,,Specific,SUP-105,Pouch,OmniGear Router 219 - High Performance,Official OmniGear Routers with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",11x9x4 cm,Ocean Blue,2024-01-30,0.98,True,True,0.87,True,False,True,False,False,0,False,False,True,10,Customer initiated return for LISTING_MISMATCH,2025-10-08,INSP-18,False,PASSED,False,False,False,95,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce,2025-10-07,NORMAL,33.0,27.0,30.0,60.0,12.0,10.0,0.9,1.0,60.0,HEALTHY
RET-107970,ORD-566491,CUST-120330,SKU-HEA-1033,2025-10-06,2025-09-11,wifi drops connection constantly,PACKAGING_ISSUE,WARRANTY,652.1,1,ONLINE,IN_STORE_DROP,True,25,PENDING_INSPECTION,PRODUCT_DEFECT,PRODUCT,YES,Product Team,CRITICAL,P1,SonicWave Headphone 133,SonicWave,Headphones,Headphones Standard,MOD-2033,652.1,24,2023-03-09,4.41,Space Gray,5000,USB-C,,Universal,SUP-104,Blister Pack,SonicWave Headphone 133 - High Performance,Official SonicWave Headphones with USB-C support.,iOS and Android,"Charger, User Manual, Cable",30x13x1 cm,Space Gray,2024-06-19,0.83,True,True,0.94,True,True,True,False,True,2,False,True,False,10,Customer initiated return for PRODUCT_DEFECT,2025-10-08,INSP-17,False,FAILED,False,False,False,91,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect,2025-10-06,NORMAL,45.0,27.0,30.0,60.0,16.0,8.0,1.6,1.0,60.0,HEALTHY
RET-111543,ORD-536474,CUST-91072,SKU-TVS-1037,2025-07-26,2025-07-03,screen brightness too low for outdoor use,PERFORMANCE_EXPECTATION,STANDARD_RETURN,67.24,1,MARKETPLACE,LOCKER,False,23,PENDING_INSPECTION,PERFORMANCE_EXPECTATION,CONTENT,YES,Content Team,LOW,P4,NexusCore TV 137,NexusCore,TVs,TVs Standard,MOD-2037,67.24,24,2024-01-30,3.22,Space Gray,0,Lightning,,Specific,SUP-102,Eco Carton,NexusCore TV 137 - High Performance,Official NexusCore TVs with Lightning support.,iOS and Android,"Charger, User Manual, Cable",13x6x2 cm,Space Gray,2024-05-19,0.83,True,True,0.93,True,True,True,True,True,1,True,False,True,10,Customer initiated return for PERFORMANCE_EXPECTATION,2025-07-29,INSP-12,False,PASSED,False,False,False,97,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found,2025-07-26,URGENT_DEMAND,142.0,31.0,30.0,70.0,21.0,87.0,5.9,1.9,70.0,HEALTHY
RET-111653,ORD-507784,CUST-125531,SKU-GAM-1135,2025-03-20,2025-03-02,product does not match description,COMPATIBILITY_ISSUE,STANDARD_RETURN,550.09,1,RETAIL_STORE,LOCKER,False,18,REJECTED,LISTING_MISMATCH,CONTENT,YES,Content Team,HIGH,P2,UltraLink Gaming Accessorie 235,UltraLink,Gaming Accessories,Gaming Accessories Standard,MOD-2135,550.09,12,2023-07-31,4.15,Ocean Blue,0,Micro-USB,,Specific,SUP-106,Box,UltraLink Gaming Accessorie 235 - High Performance,Official UltraLink Gaming Accessories with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",19x14x3 cm,Ocean Blue,2024-03-31,0.93,True,True,0.96,True,False,False,False,True,2,False,False,True,9,Customer initiated return for LISTING_MISMATCH,2025-03-22,INSP-18,False,PASSED,False,False,False,90,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found,2025-03-20,URGENT_DEMAND,122.0,30.0,30.0,70.0,30.0,112.0,4.0,2.05,70.0,HEALTHY
RET-109680,ORD-553556,CUST-131255,SKU-HEA-1138,2025-05-26,2025-05-07,no issue found works as expected,NO_FAULT_FOUND,STANDARD_RETURN,501.81,1,MARKETPLACE,IN_STORE_DROP,False,19,PENDING_INSPECTION,NO_FAULT_FOUND,OPERATIONS,UNCERTAIN,Customer,LOW,P4,SonicWave Headphone 238,SonicWave,Headphones,Headphones Standard,MOD-2138,501.81,36,2024-03-20,3.04,Space Gray,2000,Micro-USB,,Specific,SUP-101,Reinforced Case,SonicWave Headphone 238 - High Performance,Official SonicWave Headphones with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",19x10x3 cm,Space Gray,2024-01-02,0.93,True,False,0.89,True,False,False,False,False,1,False,False,True,2,Customer initiated return for NO_FAULT_FOUND,2025-05-29,INSP-18,False,PASSED,False,False,False,91,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found,2025-05-26,NORMAL,39.0,30.0,30.0,60.0,15.0,13.0,1.3,1.0,60.0,HEALTHY
RET-102395,ORD-558315,CUST-106909,SKU-SPE-1087,2025-01-09,2024-12-11,motherboard short circuited,PRODUCT_DEFECT,STANDARD_RETURN,518.79,1,MARKETPLACE,IN_STORE_DROP,False,29,PROCESSED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,CRITICAL,P1,PixelCraft Speaker 187,PixelCraft,Speakers,Speakers Standard,MOD-2087,518.79,12,2023-11-28,4.15,Midnight Black,4000,Micro-USB,,Specific,SUP-100,Blister Pack,PixelCraft Speaker 187 - High Performance,Official PixelCraft Speakers with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",24x6x5 cm,Midnight Black,2024-01-11,0.86,True,True,0.93,True,True,False,True,True,1,False,True,False,5,Customer initiated return for PRODUCT_DEFECT,2025-01-12,INSP-16,False,FAILED,False,False,False,95,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect,2025-01-09,CAPACITY_LOSS,59.0,18.0,30.0,35.0,36.0,76.0,1.6,1.0,35.0,DEGRADED
RET-111777,ORD-533458,CUST-94591,SKU-MIC-1026,2025-07-24,2025-06-25,expected usb c but received micro usb,LISTING_MISMATCH,STANDARD_RETURN,1163.26,1,RETAIL_STORE,IN_STORE_DROP,False,29,REJECTED,LISTING_MISMATCH,CONTENT,YES,Content Team,HIGH,P2,AeroTech Mice 126,AeroTech,Mice,Mice Standard,MOD-2026,1163.26,12,2023-03-27,2.48,Silver,0,Bluetooth,,iOS/Android,SUP-113,Eco Carton,AeroTech Mice 126 - High Performance,Official AeroTech Mice with Bluetooth support.,See Description,"Charger, User Manual, Cable",24x9x4 cm,Silver,2024-06-27,0.83,False,True,0.99,True,False,True,True,True,2,True,False,True,10,Customer initiated return for LISTING_MISMATCH,2025-07-26,INSP-18,False,PASSED,False,False,False,96,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found,2025-07-24,CAPACITY_LOSS,43.0,17.0,30.0,35.0,36.0,74.0,3.7,1.0,35.0,DEGRADED
RET-107239,ORD-506002,CUST-106164,SKU-CHA-1020,2025-10-20,2025-09-28,sound quality not as good as expected,CUSTOMER_DAMAGE,STANDARD_RETURN,90.87,1,ONLINE,IN_STORE_DROP,False,22,APPROVED,PERFORMANCE_EXPECTATION,CONTENT,YES,Content Team,LOW,P4,PixelCraft Charger 120,PixelCraft,Chargers,Chargers Standard,MOD-2020,90.87,6,2023-10-29,1.23,Silver,0,HDMI,,Specific,SUP-100,Box,PixelCraft Charger 120 - High Performance,Official PixelCraft Chargers with HDMI support.,See Description,"Charger, User Manual, Cable",11x10x1 cm,Silver,2024-05-11,0.84,False,True,0.88,True,True,False,False,True,1,True,False,True,7,Customer initiated return for PERFORMANCE_EXPECTATION,2025-10-23,INSP-14,False,PASSED,False,False,False,85,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found,2025-10-20,NORMAL,46.0,29.0,30.0,60.0,16.0,5.0,1.1,1.0,60.0,HEALTHY
RET-101704,ORD-538921,CUST-107631,SKU-SMA-1064,2025-05-13,2025-04-23,box damaged but product works,SHIPPING_DAMAGE,STANDARD_RETURN,344.73,1,MARKETPLACE,MAIL,False,20,PENDING_INSPECTION,SHIPPING_DAMAGE,LOGISTICS,YES,Logistics,MEDIUM,P2,UltraLink Smartwatche 164,UltraLink,Smartwatches,Smartwatches Standard,MOD-2064,344.73,36,2023-05-10,0.19,White,2000,Bluetooth,,iOS/Android,SUP-100,Pouch,UltraLink Smartwatche 164 - High Performance,Official UltraLink Smartwatches with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",14x12x1 cm,White,2024-05-24,0.58,True,False,0.45,True,False,True,True,True,2,True,True,False,0,Customer initiated return for SHIPPING_DAMAGE,2025-05-14,INSP-17,True,PASSED,False,True,False,96,True,True,Inspection completed. Outcome: Shipping Damage,Shipping Damage,2025-05-13,NORMAL,34.0,30.0,30.0,60.0,18.0,20.0,0.7,1.0,60.0,HEALTHY
RET-111086,ORD-535875,CUST-136473,SKU-CAB-1013,2025-09-30,2025-09-19,speaker produces loud static noise,PRODUCT_DEFECT,STANDARD_RETURN,934.44,2,ONLINE,IN_STORE_DROP,False,11,PROCESSED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,HIGH,P1,UltraLink Cable 113,UltraLink,Cables,Cables Standard,MOD-2013,467.22,36,2023-09-28,4.86,Midnight Black,0,Micro-USB,,Specific,SUP-110,Box,UltraLink Cable 113 - High Performance,Official UltraLink Cables with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",13x15x5 cm,Midnight Black,2024-03-09,0.89,True,True,0.99,True,True,False,False,True,1,True,True,False,6,Customer initiated return for PRODUCT_DEFECT,2025-10-03,INSP-17,False,FAILED,False,False,False,99,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect,2025-09-30,CAPACITY_LOSS,64.0,16.0,30.0,35.0,30.0,86.0,2.3,1.0,35.0,DEGRADED
RET-107530,ORD-534517,CUST-139995,SKU-KEY-1070,2025-05-25,2025-04-28,keyboard won't pair with mac os,COMPATIBILITY_ISSUE,STANDARD_RETURN,29.99,1,MARKETPLACE,MAIL,False,27,APPROVED,COMPATIBILITY_ISSUE,CONTENT,YES,Content Team,MEDIUM,P2,OmniGear Keyboard 170,OmniGear,Keyboards,Keyboards Standard,MOD-2070,29.99,36,2024-02-26,0.62,Space Gray,0,Bluetooth,,iOS/Android,SUP-110,Eco Carton,OmniGear Keyboard 170 - High Performance,Official OmniGear Keyboards with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",18x10x2 cm,Space Gray,2024-01-23,0.91,True,True,0.96,True,False,False,True,True,1,True,False,True,10,Customer initiated return for COMPATIBILITY_ISSUE,2025-05-28,INSP-17,False,PASSED,False,False,False,98,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue,2025-05-25,NORMAL,39.0,29.0,30.0,60.0,17.0,14.0,1.2,1.0,60.0,HEALTHY
RET-110919,ORD-550702,CUST-100422,SKU-HEA-1123,2025-04-09,2025-03-18,wrong size cable,COMPATIBILITY_ISSUE,STANDARD_RETURN,454.65,1,ONLINE,LOCKER,False,22,REJECTED,COMPATIBILITY_ISSUE,CONTENT,YES,Content Team,MEDIUM,P2,Zenith Headphone 223,Zenith,Headphones,Headphones Standard,MOD-2123,454.65,36,2023-10-28,3.31,Ocean Blue,4000,Bluetooth,,iOS/Android,SUP-109,Eco Carton,Zenith Headphone 223 - High Performance,Official Zenith Headphones with Bluetooth support.,See Description,"Charger, User Manual, Cable",16x15x5 cm,Ocean Blue,2024-01-06,0.84,False,True,0.92,True,False,True,True,True,0,True,False,True,2,Customer initiated return for COMPATIBILITY_ISSUE,2025-04-12,INSP-11,False,PASSED,False,False,False,85,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue,2025-04-09,DELIVERY_DELAY,62.0,28.0,30.0,60.0,15.0,50.0,24.7,1.0,60.0,DEGRADED
RET-110553,ORD-573235,CUST-103011,SKU-SMA-1064,2025-10-16,2025-10-13,cannot get software setup to complete,SETUP_DIFFICULTY,STANDARD_RETURN,344.73,1,ONLINE,LOCKER,False,3,REJECTED,SETUP_DIFFICULTY,CONTENT,YES,Customer Support,LOW,P3,UltraLink Smartwatche 164,UltraLink,Smartwatches,Smartwatches Standard,MOD-2064,344.73,36,2023-05-10,0.19,White,2000,Bluetooth,,iOS/Android,SUP-100,Pouch,UltraLink Smartwatche 164 - High Performance,Official UltraLink Smartwatches with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",14x12x1 cm,White,2024-05-24,0.58,True,False,0.45,True,False,False,False,True,4,False,False,True,9,Customer initiated return for SETUP_DIFFICULTY,2025-10-19,INSP-14,False,PASSED,False,False,False,87,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce,2025-10-16,DELIVERY_DELAY,64.0,25.0,30.0,60.0,16.0,46.0,44.6,1.0,60.0,DEGRADED
RET-110904,ORD-503692,CUST-94261,SKU-KEY-1130,2025-08-24,2025-07-25,camera quality is not as advertised,LISTING_MISMATCH,STANDARD_RETURN,546.21,1,ONLINE,MAIL,False,30,REJECTED,LISTING_MISMATCH,CONTENT,YES,Content Team,HIGH,P2,Zenith Keyboard 230,Zenith,Keyboards,Keyboards Standard,MOD-2130,546.21,24,2023-09-20,0.63,White,0,HDMI,,Specific,SUP-103,Reinforced Case,Zenith Keyboard 230 - High Performance,Official Zenith Keyboards with HDMI support.,See Description,"Charger, User Manual, Cable",20x11x5 cm,White,2024-05-15,0.83,False,True,0.94,True,True,True,True,True,2,True,False,True,10,Customer initiated return for LISTING_MISMATCH,2025-08-25,INSP-13,False,PASSED,False,False,False,99,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found,2025-08-24,NORMAL,54.0,29.0,30.0,60.0,12.0,7.0,0.9,1.0,60.0,HEALTHY
RET-100249,ORD-517951,CUST-123959,SKU-CAB-1073,2025-07-11,2025-06-15,expected usb c cable but not included,CUSTOMER_DAMAGE,STANDARD_RETURN,413.63,1,MARKETPLACE,LOCKER,False,26,PROCESSED,MISSING_ACCESSORY,PRODUCT,YES,Supplier,MEDIUM,P3,UltraLink Cable 173,UltraLink,Cables,Cables Standard,MOD-2073,413.63,36,2024-03-11,0.99,Silver,0,Micro-USB,,Specific,SUP-105,Pouch,UltraLink Cable 173 - High Performance,Official UltraLink Cables with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",17x12x4 cm,Silver,2024-04-24,0.84,True,True,0.93,True,False,False,True,False,0,True,True,True,7,Customer initiated return for MISSING_ACCESSORY,2025-07-13,INSP-16,False,PASSED,True,False,False,96,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory,2025-07-11,NORMAL,56.0,28.0,30.0,60.0,18.0,14.0,1.6,1.0,60.0,HEALTHY
